Year,Currency,Value
2007-2008,Rs.,"65,586,352.18"
2007-2008,US$,"163,132.18"
2008-2009,Rs.,"84,075,505.87"
2008-2009,US$,"185,295.36"
2009-2010,Rs.,"84,553,364.38"
2009-2010,US$,"178,751.43"
2010-2011,Rs.,"113,696,426.38"
2010-2011,US$,"249,815.55"
2011-2012,Rs.,"146,595,939.96"
2011-2012,US$,"305,963.92"
2012-2013,Rs.,"163,431,828.96"
2012-2013,US$,"300,400.58"
2013-2014,Rs.,"190,501,108.86"
2013-2014,US$,"314,405.30"
2014-2015,Rs.,"189,634,841.76"
2014-2015,US$,"310,338.48"
2015-2016,Rs.,"171,638,440.44"
2015-2016,US$,"262,291.09"
2016-2017,Rs.,"184,943,355.34"
2016-2017,US$,"275,852.43"
2017-2018,Rs.,"195,651,452.80"
2017-2018,US$,"303,526.16"
